RetailCatLinkSid,DataextrctSid,RetailDeptNm,RetailCatNm,RetailSegmentNm,RetailSubSegmentNm,CatProfileNm,ChangeInd,JobExecSid
642,7,GROCERY,CANDY,CHOCOLATE,NOVELTY,SEGMENT/BRAND,"I  ",8315
653,7,GROCERY,"CANNED MEATS, STEWS & SEAFOOD","FISH COCKTAIL",GLASS,SEGMENT/BRAND,"I  ",8315
861,7,"GROCERY/NON FOOD","BATTERIES, LIGHT BULBS, BBQ SUPPLIES",BBQ,LIGHTERS,SEGMENT/BRAND,"I  ",8315
640,7,GROCERY,CANDY,CHOCOLATE,ENROBED,SEGMENT/BRAND,"I  ",8315
299,7,GROCERY,INDIAN,GHEE,,SEGMENT/BRAND,"I  ",8315
375,7,GROCERY,"SEASONINGS & SPICES",SEASONINGS,,BRAND/SEGMENT,"I  ",8315
700,7,GROCERY,"COCKTAIL/DRINK MIXERS & ADDITIVES",MIXERS,"RTU-BLOODY MARY",SEGMENT/BRAND,"I  ",8315
869,7,"GROCERY/NON FOOD","PET FOOD & TREATS","CAT FOOD",TREATS,SEGMENT/BRAND,"I  ",8315
739,7,GROCERY,"HONEY & SYRUPS","SYRUP: TABLE","PURE MAPLE",SEGMENT/BRAND,"I  ",8315
523,7,GROCERY,ASIAN,"COOKING INGREDIENTS",NOODLE,SEGMENT/BRAND,"I  ",8315
720,7,GROCERY,"ENTREES & MIXES, MAC & CHEESE",BOX,MEAL-HELPERS,BRAND/SEGMENT,"I  ",8315
789,7,GROCERY,"PRE-PACKAGED SNACKS: NUTS, DRIED FRUIT, TRAIL MIX","NUTS & SEEDS",NUTS,BRAND/SEGMENT,"I  ",8315
394,7,GROCERY,"TOMATOES & TOMATO PRODUCTS",TUBE,,BRAND/SEGMENT,"I  ",8315
373,7,GROCERY,"SEASONINGS & SPICES",SALT,,BRAND/SEGMENT,"I  ",8315
112,7,DAIRY/PERISHABLE,"MEAT ALTERNATIVES","BREAKFAST ALTERNATIVE",,SEGMENT/BRAND,"I  ",8315
842,7,GROCERY,TORTILLAS,HARD/CRISPY,"TACO SHELLS",BRAND/SEGMENT,"I  ",8315
257,7,GROCERY,"COCOA/MILK FLAVORINGS",COCOA,,BRAND/SEGMENT,"I  ",8315
316,7,GROCERY,MUSTARDS,YELLOW,,BRAND/SEGMENT,"I  ",8315
747,7,GROCERY,"ICE CREAM TOPPINGS",SAUCE,OTHER,SEGMENT/BRAND,"I  ",8315
175,7,FROZEN,"MEAT ALTERNATIVES",MEATBALLS,,BRAND/SEGMENT,"I  ",8315
758,7,GROCERY,"NON-DAIRY BEVERAGES","MULTI-SERVE (APPROX 32 OZ)",COCONUT,SEGMENT/BRAND,"I  ",8315
240,7,GROCERY,"CANNED MEATS, STEWS & SEAFOOD",POULTRY,,SEGMENT/BRAND,"I  ",8315
104,7,DAIRY/PERISHABLE,EGGS,"WHOLE EGG",,SEGMENT/BRAND,"I  ",8315
745,7,GROCERY,"ICE CREAM TOPPINGS",SAUCE,CHOCOLATE,SEGMENT/BRAND,"I  ",8315
628,7,GROCERY,"BEVERAGES: WATER, SPARKLING, & STILL",NON-ENHANCED,"SINGLE SERVE: SPARKLING",SEGMENT/BRAND,"I  ",8315
434,7,"GROCERY/NON FOOD","PET SUPPLIES & SUPPLEMENTS",TRAINING,,BRAND/SEGMENT,"I  ",8315
482,7,DAIRY/PERISHABLE,"YOGURT AND CULTURED BEVERAGES","GREEK YOGURT","MULTI SERVE",SEGMENT/BRAND,"I  ",8315
648,7,GROCERY,CANDY,"SOFT CANDY (NON-CHOCOLATE)",LICORICE,SEGMENT/BRAND,"I  ",8315
577,7,GROCERY,"BAKING & CAKE DECORATING",INGREDIENTS,YEAST,SEGMENT/BRAND,"I  ",8315
699,7,GROCERY,"COCKTAIL/DRINK MIXERS & ADDITIVES",MIXERS,DRY,SEGMENT/BRAND,"I  ",8315
563,7,GROCERY,"BAKING & CAKE DECORATING","CAKE DECORATING",TOPPINGS,SEGMENT/BRAND,"I  ",8315
733,7,GROCERY,GRAINS,NON-INSTANT,BOXES,BRAND/SEGMENT,"I  ",8315
806,7,GROCERY,"SOUPS: RTS, MIXES, BROTHS, BOUILLONS, STOCKS & DRY","BROTHS & STOCKS",BROTH,SEGMENT/BRAND,"I  ",8315
771,7,GROCERY,"NUT BUTTERS & SPREADS",PEANUT,NON-POWDERED,SEGMENT/BRAND,"I  ",8315
451,7,DAIRY/PERISHABLE,"MEAT ALTERNATIVES","GROUNDS/CRUMBLES ALTERNATIVE",OTHER,SEGMENT/BRAND,"I  ",8315
487,7,DAIRY/PERISHABLE,"YOGURT AND CULTURED BEVERAGES","KIDS AND BABY","S/S YOGURT DRINK",SEGMENT/BRAND,"I  ",8315
333,7,GROCERY,"OILS: OLIVE",GALLON/TIN,,SEGMENT/BRAND,"I  ",8315
274,7,GROCERY,COOKIES,WAFER,,BRAND/SEGMENT,"I  ",8315
329,7,GROCERY,"OILS: NON-OLIVE",SPRAYS,,SEGMENT/BRAND,"I  ",8315
784,7,GROCERY,"PRE-PACKAGED SNACKS: NUTS, DRIED FRUIT, TRAIL MIX","DRIED FRUIT & VEGETABLES",FRUIT,BRAND/SEGMENT,"I  ",8315
590,7,GROCERY,"BAKING & CAKE DECORATING","MIXES:BREAD, MUFFIN, SCONE, BISCUIT",OTHER,SEGMENT/BRAND,"I  ",8315
634,7,GROCERY,"BULK: TRAIL MIXES/MIXES/SALTY SNACKS","SEA VEGETABLE",UNSULFURED,SEGMENT/BRAND,"I  ",8315
604,7,GROCERY,"BEVERAGES: NONDAIRY NUT, HEMP, RICE, SOY","MULTI SERVE",BLEND,SEGMENT/BRAND,"I  ",8315
308,7,GROCERY,"MILK: CANNED, CONDENSED, ASEPTIC",ASEPTIC,,SEGMENT/BRAND,"I  ",8315
840,7,GROCERY,"TOMATOES & TOMATO PRODUCTS",CAN,">30 0Z+",BRAND/SEGMENT,"I  ",8315
569,7,GROCERY,"BAKING & CAKE DECORATING","FLOUR & MEALS","FLOUR SUBSTITUTE",SEGMENT/BRAND,"I  ",8315
217,7,GROCERY,"BEVERAGES: SINGLE SERVE",DRINK,,BRAND/SEGMENT,"I  ",8315
320,7,GROCERY,"NUT BUTTERS & SPREADS","NON PEANUT",,SEGMENT/BRAND,"I  ",8315
682,7,GROCERY,"CEREALS: HOT",GRAIN,INSTANT,BRAND/SEGMENT,"I  ",8315
775,7,GROCERY,"NUTRITIONAL BARS AND ENERGY GELS/CHEWS",BARS,"WEIGHT CONTROL",SEGMENT/BRAND,"I  ",8315
144,7,FROZEN,"BREAD & BAKED GOODS",BISCUIT,,SEGMENT/BRAND,"I  ",8315
224,7,GROCERY,"BREAKFAST BARS AND SNACK BARS","TOASTER PASTRIES",,SEGMENT/BRAND,"I  ",8315
156,7,FROZEN,BREAKFAST,"ENTREES: SANDWICH",,SEGMENT/BRAND,"I  ",8315
863,7,"GROCERY/NON FOOD","BATTERIES, LIGHT BULBS, BBQ SUPPLIES","LIGHT BULBS - FLUORESCENT",T8,SEGMENT/BRAND,"I  ",8315
860,7,"GROCERY/NON FOOD","BATTERIES, LIGHT BULBS, BBQ SUPPLIES",BBQ,FLUID,SEGMENT/BRAND,"I  ",8315
541,7,GROCERY,"BABY FOOD",BOX,TODDLER,SEGMENT/BRAND,"I  ",8315
207,7,GROCERY,"BAKING & CAKE DECORATING",NUTS,,SEGMENT/BRAND,"I  ",8315
479,7,DAIRY/PERISHABLE,"YOGURT AND CULTURED BEVERAGES","CULTURED BEVERAGE","S/S KEFIR",SEGMENT/BRAND,"I  ",8315
270,7,GROCERY,COOKIES,OTHER,,BRAND/SEGMENT,"I  ",8315
575,7,GROCERY,"BAKING & CAKE DECORATING",INGREDIENTS,SODA,SEGMENT/BRAND,"I  ",8315
87,7,DAIRY/PERISHABLE,"CHEESE ALTERNATIVES",GRATED,,SEGMENT/BRAND,"I  ",8315
760,7,GROCERY,"NON-DAIRY BEVERAGES","MULTI-SERVE (APPROX 32 OZ)",RICE,SEGMENT/BRAND,"I  ",8315
352,7,GROCERY,"PREPARED SAUCE: BBQ, MARINADES, STEAK, WING, HOT, SEAFOOD, SPECIALTY",SPECIALTY,,SEGMENT/BRAND,"I  ",8315
617,7,GROCERY,"BEVERAGES: WATER, SPARKLING, & STILL","FUNCTIONALLY ENHANCED","MULTI PACK: NON SPARKLING",SEGMENT/BRAND,"I  ",8315
459,7,DAIRY/PERISHABLE,"NON-DAIRY BEVERAGES","128 OUNCES OR LESS",SOY,SEGMENT/BRAND,"I  ",8315
762,7,GROCERY,"NON-DAIRY BEVERAGES","MULTI-SERVE (APPROX 64 OZ)",ALMOND,SEGMENT/BRAND,"I  ",8315
766,7,GROCERY,"NON-DAIRY BEVERAGES","MULTI-SERVE (APPROX 64 OZ)",SOY,SEGMENT/BRAND,"I  ",8315
314,7,GROCERY,MUSTARDS,HONEY,,BRAND/SEGMENT,"I  ",8315
512,7,GROCERY,APPLESAUCE,"MULTI SERVE","NON-ORGANIC SWEETENED",BRAND/SEGMENT,"I  ",8315
484,7,DAIRY/PERISHABLE,"YOGURT AND CULTURED BEVERAGES","KIDS AND BABY","M/P KEFIR",SEGMENT/BRAND,"I  ",8315
165,7,FROZEN,DESSERTS,SHELLS,,BRAND/SEGMENT,"I  ",8315
529,7,GROCERY,ASIAN,"COOKING INGREDIENTS","SOY SAUCE",SEGMENT/BRAND,"I  ",8315
113,7,DAIRY/PERISHABLE,"MEAT ALTERNATIVES","BURGER ALTERNATIVE",,SEGMENT/BRAND,"I  ",8315
268,7,GROCERY,COOKIES,BISCUIT,,BRAND/SEGMENT,"I  ",8315
798,7,GROCERY,"SALTY SNACKS: RTE (NON GUSSETED BAG)",CHIP,POTATO,BRAND/SEGMENT,"I  ",8315
566,7,GROCERY,"BAKING & CAKE DECORATING",CHOCOLATE,OTHER,SEGMENT/BRAND,"I  ",8315
756,7,GROCERY,INDIAN,SEASONINGS,SPICE,SEGMENT/BRAND,"I  ",8315
819,7,GROCERY,"SPECIALTY TEA, NON RTD",BLACK,CHAI,BRAND/SEGMENT,"I  ",8315
603,7,GROCERY,"BEVERAGES: NONDAIRY NUT, HEMP, RICE, SOY","MULTI SERVE",ALMOND,SEGMENT/BRAND,"I  ",8315
855,7,"GROCERY/NON FOOD","BATTERIES, LIGHT BULBS, BBQ SUPPLIES",BATTERIES-OTHER,CHARGER,SEGMENT/BRAND,"I  ",8315
630,7,GROCERY,"BULK: TRAIL MIXES/MIXES/SALTY SNACKS",FRUIT,UNSULFURED,SEGMENT/BRAND,"I  ",8315
357,7,GROCERY,"PRESERVES & FRUIT SPREADS",SQUEEZE,,BRAND/SEGMENT,"I  ",8315
430,7,"GROCERY/NON FOOD","PET SUPPLIES & SUPPLEMENTS",OTHER,,BRAND/SEGMENT,"I  ",8315
159,7,FROZEN,BREAKFAST,PANCAKES,,SEGMENT/BRAND,"I  ",8315
148,7,FROZEN,"BREAD & BAKED GOODS",FLATBREADS,,SEGMENT/BRAND,"I  ",8315
579,7,GROCERY,"BAKING & CAKE DECORATING","MIXES: BROWNIE, CAKE, COOKIE, BAR",BROWNIE,SEGMENT/BRAND,"I  ",8315
655,7,GROCERY,"CANNED MEATS, STEWS & SEAFOOD","FISH NON-COCKTAIL",POUCH,SEGMENT/BRAND,"I  ",8315
681,7,GROCERY,"CEREALS: HOT",CREAM,REGULAR,BRAND/SEGMENT,"I  ",8315
140,7,FROZEN,BEVERAGES,SHAKER,,SEGMENT/BRAND,"I  ",8315
786,7,GROCERY,"PRE-PACKAGED SNACKS: NUTS, DRIED FRUIT, TRAIL MIX","DRIED FRUIT & VEGETABLES",VEGETABLES,BRAND/SEGMENT,"I  ",8315
234,7,GROCERY,CANDY,NOVELTIES,,SEGMENT/BRAND,"I  ",8315
714,7,GROCERY,"DIPS & SALSAS",RTU-DIPS,HUMMUS,SEGMENT/BRAND,"I  ",8315
531,7,GROCERY,ASIAN,"COOKING INGREDIENTS","VINEGAR/COOKING WINE",SEGMENT/BRAND,"I  ",8315
567,7,GROCERY,"BAKING & CAKE DECORATING","FLOUR & MEALS",BRAN,SEGMENT/BRAND,"I  ",8315
808,7,GROCERY,"SOUPS: RTS, MIXES, BROTHS, BOUILLONS, STOCKS & DRY",MIXES,BOX,SEGMENT/BRAND,"I  ",8315
440,7,DAIRY/PERISHABLE,"BEVERAGES: JUICES & FUNCTIONAL","SINGLE SERVE",FUNCTIONAL,SEGMENT/BRAND,"I  ",8315
518,7,GROCERY,APPLESAUCE,"SINGLE SERVE","ORGANIC SWEETENED",BRAND/SEGMENT,"I  ",8315
264,7,GROCERY,COFFEE,JAR,,BRAND/SEGMENT,"I  ",8315
449,7,DAIRY/PERISHABLE,DESSERTS,"READY TO SERVE",PUDDING,SEGMENT/BRAND,"I  ",8315
548,7,GROCERY,"BABY FOOD",JAR,"STAGE 2",SEGMENT/BRAND,"I  ",8315
644,7,GROCERY,CANDY,"HARD CANDY (NON-CHOCOLATE)",OTHER,SEGMENT/BRAND,"I  ",8315
777,7,GROCERY,"NUTRITIONAL BARS AND ENERGY GELS/CHEWS","GELS & CHEWS",GELS,SEGMENT/BRAND,"I  ",8315
804,7,GROCERY,"SOUPS: RTS, MIXES, BROTHS, BOUILLONS, STOCKS & DRY",BOUILLON,LIQUID,SEGMENT/BRAND,"I  ",8315
220,7,GROCERY,"BEVERAGES: SINGLE SERVE",TEA,,BRAND/SEGMENT,"I  ",8315
433,7,"GROCERY/NON FOOD","PET SUPPLIES & SUPPLEMENTS",TOY,,BRAND/SEGMENT,"I  ",8315
592,7,GROCERY,"BAKING & CAKE DECORATING","PIE SHELLS",MIX,SEGMENT/BRAND,"I  ",8315
817,7,GROCERY,"SOUPS: RTS, MIXES, BROTHS, BOUILLONS, STOCKS & DRY",RTS,JAR,SEGMENT/BRAND,"I  ",8315
573,7,GROCERY,"BAKING & CAKE DECORATING",INGREDIENTS,POWDER,SEGMENT/BRAND,"I  ",8315
188,7,GROCERY,ASIAN,"NON FOOD",,SEGMENT/BRAND,"I  ",8315
411,7,"GROCERY/NON FOOD","DIAPERS, WIPES",WIPES,,SEGMENT/BRAND,"I  ",8315
146,7,FROZEN,"BREAD & BAKED GOODS","BUNS & ROLLS",,SEGMENT/BRAND,"I  ",8315
581,7,GROCERY,"BAKING & CAKE DECORATING","MIXES: BROWNIE, CAKE, COOKIE, BAR",COOKIE,SEGMENT/BRAND,"I  ",8315
781,7,GROCERY,"OILS: NON-OLIVE","OILS 0-13 OZ","NUT: PEANUT",SEGMENT/BRAND,"I  ",8315
602,7,GROCERY,"BEVERAGES: JUICE","NON APPLE","VEGETABLE/FRUIT BLENDS",SEGMENT/BRAND,"I  ",8315
432,7,"GROCERY/NON FOOD","PET SUPPLIES & SUPPLEMENTS",SUPPLEMENTS,,BRAND/SEGMENT,"I  ",8315
369,7,GROCERY,"SAUCES: DRY",SAUCES,,BRAND/SEGMENT,"I  ",8315
663,7,GROCERY,"CEREALS: COLD",FLAKES/CRISPS/SQUARES,BOX,BRAND/SEGMENT,"I  ",8315
407,7,"GROCERY/NON FOOD","BATTERIES, LIGHT BULBS, BBQ SUPPLIES","LIGHT BULBS-HID",,SEGMENT/BRAND,"I  ",8315
691,7,GROCERY,"COCKTAIL/DRINK MIXERS & ADDITIVES",ADDITIVES,BITTERS,SEGMENT/BRAND,"I  ",8315
296,7,GROCERY,INDIAN,CHUTNEYS,,SEGMENT/BRAND,"I  ",8315
123,7,DAIRY/PERISHABLE,"MILK AND CREAM",OTHER,,SEGMENT/BRAND,"I  ",8315
447,7,DAIRY/PERISHABLE,DESSERTS,"READY TO SERVE",GELATIN,SEGMENT/BRAND,"I  ",8315
135,7,FROZEN,"APPETIZERS & CONVENIENCE",HANDHELDS,,SEGMENT/BRAND,"I  ",8315
346,7,GROCERY,"PREPARED SAUCE: BBQ, MARINADES, STEAK, WING, HOT, SEAFOOD, SPECIALTY",BBQ,,SEGMENT/BRAND,"I  ",8315
266,7,GROCERY,CONCENTRATES,JUICE,,BRAND/SEGMENT,"I  ",8315
725,7,GROCERY,"ENTREES & MIXES, MAC & CHEESE",OTHER,"MACARONI & CHEESE",BRAND/SEGMENT,"I  ",8315
870,7,"GROCERY/NON FOOD","PET FOOD & TREATS","CAT FOOD",WET,SEGMENT/BRAND,"I  ",8315
649,7,GROCERY,CANDY,"SOFT CANDY (NON-CHOCOLATE)","NON SUGAR SHELL",SEGMENT/BRAND,"I  ",8315
550,7,GROCERY,"BABY FOOD",JAR,TODDLER,SEGMENT/BRAND,"I  ",8315
279,7,GROCERY,"DIPS & SALSAS",RTU-SALSAS,,SEGMENT/BRAND,"I  ",8315
289,7,GROCERY,"HONEY & SYRUPS",HONEY,,SEGMENT/BRAND,"I  ",8315
89,7,DAIRY/PERISHABLE,"CHEESE ALTERNATIVES",SHREDDED,,SEGMENT/BRAND,"I  ",8315
693,7,GROCERY,"COCKTAIL/DRINK MIXERS & ADDITIVES",ADDITIVES,OTHER,SEGMENT/BRAND,"I  ",8315
229,7,GROCERY,"BULK: TRAIL MIXES/MIXES/SALTY SNACKS","TRAIL MIXES",,SEGMENT/BRAND,"I  ",8315
687,7,GROCERY,"CEREALS: HOT",OATMEAL,"OLD FASHIONED",BRAND/SEGMENT,"I  ",8315
826,7,GROCERY,"SWEETENERS: DRY & LIQUID",SUGAR,GRANULATED,SEGMENT/BRAND,"I  ",8315
600,7,GROCERY,"BEVERAGES: JUICE","NON APPLE","SINGLE FRUIT",SEGMENT/BRAND,"I  ",8315
359,7,GROCERY,"SALAD DRESSINGS",DRY,,SEGMENT/BRAND,"I  ",8315
565,7,GROCERY,"BAKING & CAKE DECORATING",CHOCOLATE,CHIPS,SEGMENT/BRAND,"I  ",8315
586,7,GROCERY,"BAKING & CAKE DECORATING","MIXES: GELATIN, MOUSSE, PUDDING, OTHER",PUDDING,SEGMENT/BRAND,"I  ",8315
497,7,FROZEN,FRUITS,BERRY,MULTIPLE,BRAND/SEGMENT,"I  ",8315
457,7,DAIRY/PERISHABLE,"NON-DAIRY BEVERAGES","128 OUNCES OR LESS",OTHER,SEGMENT/BRAND,"I  ",8315
110,7,DAIRY/PERISHABLE,"MACROBIOTIC FOODS/TOFU/MISO",TOFU,,SEGMENT/BRAND,"I  ",8315
121,7,DAIRY/PERISHABLE,"MILK AND CREAM","MILK HALF GALLONS",,SEGMENT/BRAND,"I  ",8315
632,7,GROCERY,"BULK: TRAIL MIXES/MIXES/SALTY SNACKS",NUTS,SHELLED,SEGMENT/BRAND,"I  ",8315
609,7,GROCERY,"BEVERAGES: NONDAIRY NUT, HEMP, RICE, SOY","MULTI SERVE",SOY,SEGMENT/BRAND,"I  ",8315
495,7,DAIRY/PERISHABLE,"YOGURT AND CULTURED BEVERAGES","NON GREEK YOGURT","MULTI SERVE",SEGMENT/BRAND,"I  ",8315
857,7,"GROCERY/NON FOOD","BATTERIES, LIGHT BULBS, BBQ SUPPLIES",BATTERIES-OTHER,TECH,SEGMENT/BRAND,"I  ",8315
661,7,GROCERY,"CEREALS: COLD",CLUSTERS/NUGGETS,CUP,BRAND/SEGMENT,"I  ",8315
872,7,"GROCERY/NON FOOD","PET FOOD & TREATS","DOG FOOD",TREATS,SEGMENT/BRAND,"I  ",8315
540,7,GROCERY,"BABY FOOD",BOX,"STAGE 3",SEGMENT/BRAND,"I  ",8315
878,7,"GROCERY/NON FOOD","TRASH, FOOD STORAGE & WRAPS",WRAPS,PLASTIC,SEGMENT/BRAND,"I  ",8315
504,7,FROZEN,"ICE CREAM, GELATO, NOVELTIES, SORBET, NONDAIRY",DAIRY/FRUIT,NOVELTIES,BRAND/SEGMENT,"I  ",8315
657,7,GROCERY,"CEREALS: COLD",BISCUITS,BOX,BRAND/SEGMENT,"I  ",8315
180,7,FROZEN,PIZZA,MULTI-SERVE,,BRAND/SEGMENT,"I  ",8315
182,7,FROZEN,VEGETABLES,NON-POTATO,,SEGMENT/BRAND,"I  ",8315
438,7,DAIRY/PERISHABLE,"BEVERAGES: JUICES & FUNCTIONAL","MULTI SERVE",FUNCTIONAL,SEGMENT/BRAND,"I  ",8315
859,7,"GROCERY/NON FOOD","BATTERIES, LIGHT BULBS, BBQ SUPPLIES",BBQ,"COOKING FUEL",SEGMENT/BRAND,"I  ",8315
516,7,GROCERY,APPLESAUCE,"SINGLE SERVE","NON-ORGANIC SWEETENED",BRAND/SEGMENT,"I  ",8315
304,7,GROCERY,INDIAN,RICE,,SEGMENT/BRAND,"I  ",8315
571,7,GROCERY,"BAKING & CAKE DECORATING","FLOUR & MEALS",PIZZA,SEGMENT/BRAND,"I  ",8315
356,7,GROCERY,"PRESERVES & FRUIT SPREADS",JAR,,BRAND/SEGMENT,"I  ",8315
399,7,"GROCERY/NON FOOD","BABY PRODUCTS","CLOTHING/SOFT GOODS",,SEGMENT/BRAND,"I  ",8315
853,7,GROCERY,"VINEGARS & COOKING WINES",VINEGAR,WINE,SEGMENT/BRAND,"I  ",8315
336,7,GROCERY,"PICKLES, PEPPERS, RELISH, MARINATED & PICKLED SPECIALTIES","PICKLED & MARINATED (NON PEPPER) SPECIALTY",,SEGMENT/BRAND,"I  ",8315
138,7,FROZEN,BEVERAGES,CONCENTRATES,,SEGMENT/BRAND,"I  ",8315
178,7,FROZEN,"MEAT ALTERNATIVES","PATTIES AND CUTLETS",,BRAND/SEGMENT,"I  ",8315
173,7,FROZEN,"MEAT ALTERNATIVES",CRUMBLES,,BRAND/SEGMENT,"I  ",8315
96,7,DAIRY/PERISHABLE,"DIPS & SALSAS",DESSERT,,BRAND/SEGMENT,"I  ",8315
767,7,GROCERY,"NON-DAIRY BEVERAGES","SINGLE SERVE",ALMOND,SEGMENT/BRAND,"I  ",8315
107,7,DAIRY/PERISHABLE,"MACROBIOTIC FOODS/TOFU/MISO",SEAWEED,,SEGMENT/BRAND,"I  ",8315
460,7,DAIRY/PERISHABLE,"NON-DAIRY BEVERAGES","32 OUNCES OR LESS",ALMOND,SEGMENT/BRAND,"I  ",8315
464,7,DAIRY/PERISHABLE,"NON-DAIRY BEVERAGES","32 OUNCES OR LESS",SOY,SEGMENT/BRAND,"I  ",8315
506,7,FROZEN,"ICE CREAM, GELATO, NOVELTIES, SORBET, NONDAIRY",DAIRY/FRUIT,"PINT STYLE",BRAND/SEGMENT,"I  ",8315
605,7,GROCERY,"BEVERAGES: NONDAIRY NUT, HEMP, RICE, SOY","MULTI SERVE",COCONUT,SEGMENT/BRAND,"I  ",8315
676,7,GROCERY,"CEREALS: COLD",OTHER,CUP,BRAND/SEGMENT,"I  ",8315
331,7,GROCERY,"OILS: OLIVE","14-22 OZ",,SEGMENT/BRAND,"I  ",8315
828,7,GROCERY,"SWEETENERS: DRY & LIQUID",SUGAR,OTHER,SEGMENT/BRAND,"I  ",8315
103,7,DAIRY/PERISHABLE,EGGS,OTHER,,SEGMENT/BRAND,"I  ",8315
744,7,GROCERY,"ICE CREAM TOPPINGS",SAUCE,CARAMEL,SEGMENT/BRAND,"I  ",8315
620,7,GROCERY,"BEVERAGES: WATER, SPARKLING, & STILL","FUNCTIONALLY ENHANCED","MULTI SERVE: SPARKLING",SEGMENT/BRAND,"I  ",8315
272,7,GROCERY,COOKIES,SANDWICH,,BRAND/SEGMENT,"I  ",8315
534,7,GROCERY,ASIAN,MEALS,"ON-THE-GO MEAL",SEGMENT/BRAND,"I  ",8315
702,7,GROCERY,"COCKTAIL/DRINK MIXERS & ADDITIVES",MIXERS,RTU-MARGARITA,SEGMENT/BRAND,"I  ",8315
830,7,GROCERY,"SWEETENERS: DRY & LIQUID","SUGAR ALTERNATIVES",AGAVE,SEGMENT/BRAND,"I  ",8315
470,7,DAIRY/PERISHABLE,"NON-DAIRY BEVERAGES","SINGLE SERVE - 20 OUNCES OR LESS",ALMOND,SEGMENT/BRAND,"I  ",8315
535,7,GROCERY,ASIAN,MEALS,"ON-THE-GO SOUP",SEGMENT/BRAND,"I  ",8315
436,7,"GROCERY/NON FOOD","TRASH, FOOD STORAGE & WRAPS",TRASH,,SEGMENT/BRAND,"I  ",8315
386,7,GROCERY,"SPECIALTY TEA, NON RTD",OOLONG,,BRAND/SEGMENT,"I  ",8315
428,7,"GROCERY/NON FOOD","PET SUPPLIES & SUPPLEMENTS",LEASHES/LEADS,,BRAND/SEGMENT,"I  ",8315
342,7,GROCERY,"PRE-PACKAGED SNACKS: NUTS, DRIED FRUIT, TRAIL MIX","ENROBED DRIZZLED FRUIT & SALTY SNACKS",,BRAND/SEGMENT,"I  ",8315
718,7,GROCERY,"ENTREES & MIXES, MAC & CHEESE",BOX,KITS,BRAND/SEGMENT,"I  ",8315
750,7,GROCERY,INDIAN,PASTES,COOKING,SEGMENT/BRAND,"I  ",8315
783,7,GROCERY,"OILS: NON-OLIVE","OILS 0-13 OZ",SEED,SEGMENT/BRAND,"I  ",8315
769,7,GROCERY,"NON-DAIRY BEVERAGES","SINGLE SERVE",RICE,SEGMENT/BRAND,"I  ",8315
578,7,GROCERY,"BAKING & CAKE DECORATING","MIXES: BROWNIE, CAKE, COOKIE, BAR",BAR,SEGMENT/BRAND,"I  ",8315
285,7,GROCERY,"GRAIN CAKES","STACKED: TRADITIONAL",,SEGMENT/BRAND,"I  ",8315
626,7,GROCERY,"BEVERAGES: WATER, SPARKLING, & STILL",NON-ENHANCED,"MULTI SERVE: SPARKLING",SEGMENT/BRAND,"I  ",8315
199,7,GROCERY,"BAKING & CAKE DECORATING",COCONUT,,SEGMENT/BRAND,"I  ",8315
422,7,"GROCERY/NON FOOD","PET SUPPLIES & SUPPLEMENTS",CLOTHES,,BRAND/SEGMENT,"I  ",8315
792,7,GROCERY,"PRE-PACKAGED SNACKS: NUTS, DRIED FRUIT, TRAIL MIX","TRAIL MIX/CLUSTERS","TRAIL MIX",BRAND/SEGMENT,"I  ",8315
232,7,GROCERY,CANDY,GUM,,SEGMENT/BRAND,"I  ",8315
689,7,GROCERY,"CEREALS: HOT",OATMEAL,REGULAR,BRAND/SEGMENT,"I  ",8315
697,7,GROCERY,"COCKTAIL/DRINK MIXERS & ADDITIVES",MIXERS,BUCKET,SEGMENT/BRAND,"I  ",8315
773,7,GROCERY,"NUTRITIONAL BARS AND ENERGY GELS/CHEWS",BARS,"LIFESTYLE & WELLNESS",SEGMENT/BRAND,"I  ",8315
161,7,FROZEN,DESSERTS,CAKES,,BRAND/SEGMENT,"I  ",8315
291,7,GROCERY,"HONEY & SYRUPS","SYRUP: NON-TOPPING",,SEGMENT/BRAND,"I  ",8315
254,7,GROCERY,"CEREALS: HOT",OTHER,,BRAND/SEGMENT,"I  ",8315
708,7,GROCERY,"CRACKERS & CRISPBREADS",CRISPBREADS,BREADSTICK,BRAND/SEGMENT,"I  ",8315
559,7,GROCERY,"BAKING & CAKE DECORATING","CAKE DECORATING",CANDLES,SEGMENT/BRAND,"I  ",8315
525,7,GROCERY,ASIAN,"COOKING INGREDIENTS",PASTE,SEGMENT/BRAND,"I  ",8315
868,7,"GROCERY/NON FOOD","PET FOOD & TREATS","CAT FOOD",DRY,SEGMENT/BRAND,"I  ",8315
613,7,GROCERY,"BEVERAGES: NONDAIRY NUT, HEMP, RICE, SOY","SINGLE SERVE",SOY,SEGMENT/BRAND,"I  ",8315
218,7,GROCERY,"BEVERAGES: SINGLE SERVE",JUICE,,BRAND/SEGMENT,"I  ",8315
696,7,GROCERY,"COCKTAIL/DRINK MIXERS & ADDITIVES",MIXERS,BAGGED,SEGMENT/BRAND,"I  ",8315
294,7,GROCERY,"ICE CREAM TOPPINGS",OTHER,,SEGMENT/BRAND,"I  ",8315
239,7,GROCERY,"CANNED MEATS, STEWS & SEAFOOD",OTHER/SPECIALTY,,SEGMENT/BRAND,"I  ",8315
