RetailCatLinkSid,DataextrctSid,RetailDeptNm,RetailCatNm,RetailSegmentNm,RetailSubSegmentNm,CatProfileNm,ChangeInd,JobExecSid
568,7,GROCERY,"BAKING & CAKE DECORATING","FLOUR & MEALS",FLOUR,SEGMENT/BRAND,"I  ",8315
177,7,FROZEN,"MEAT ALTERNATIVES",OTHER,,BRAND/SEGMENT,"I  ",8315
95,7,DAIRY/PERISHABLE,"DIPS & SALSAS",DAIRY,,BRAND/SEGMENT,"I  ",8315
116,7,DAIRY/PERISHABLE,"MEAT ALTERNATIVES","HOT DOG ALTERNATIVE",,SEGMENT/BRAND,"I  ",8315
589,7,GROCERY,"BAKING & CAKE DECORATING","MIXES:BREAD, MUFFIN, SCONE, BISCUIT",MUFFIN,SEGMENT/BRAND,"I  ",8315
118,7,DAIRY/PERISHABLE,"MEAT ALTERNATIVES","SAUSAGE ALTERNATIVE",,SEGMENT/BRAND,"I  ",8315
337,7,GROCERY,"PICKLES, PEPPERS, RELISH, MARINATED & PICKLED SPECIALTIES",RELISH,,SEGMENT/BRAND,"I  ",8315
223,7,GROCERY,"BREAKFAST BARS AND SNACK BARS",BARS,,SEGMENT/BRAND,"I  ",8315
665,7,GROCERY,"CEREALS: COLD",GRANOLA,BAG,BRAND/SEGMENT,"I  ",8315
785,7,GROCERY,"PRE-PACKAGED SNACKS: NUTS, DRIED FRUIT, TRAIL MIX","DRIED FRUIT & VEGETABLES","SEA VEGETABLES",BRAND/SEGMENT,"I  ",8315
364,7,GROCERY,"SALTY SNACKS: RTE (NON GUSSETED BAG)",PRETZEL,,BRAND/SEGMENT,"I  ",8315
139,7,FROZEN,BEVERAGES,OTHER,,SEGMENT/BRAND,"I  ",8315
852,7,GROCERY,"VINEGARS & COOKING WINES",VINEGAR,WHITE,SEGMENT/BRAND,"I  ",8315
120,7,DAIRY/PERISHABLE,"MILK AND CREAM","MILK GALLONS",,SEGMENT/BRAND,"I  ",8315
526,7,GROCERY,ASIAN,"COOKING INGREDIENTS",PROTEIN,SEGMENT/BRAND,"I  ",8315
730,7,GROCERY,GRAINS,INSTANT,CUPS,BRAND/SEGMENT,"I  ",8315
751,7,GROCERY,INDIAN,PASTES,INGREDIENT,SEGMENT/BRAND,"I  ",8315
158,7,FROZEN,BREAKFAST,"OATMEAL & CUPS",,SEGMENT/BRAND,"I  ",8315
152,7,FROZEN,BREAKFAST,"BLINTZES & CREPES",,SEGMENT/BRAND,"I  ",8315
303,7,GROCERY,INDIAN,RELISH,,SEGMENT/BRAND,"I  ",8315
787,7,GROCERY,"PRE-PACKAGED SNACKS: NUTS, DRIED FRUIT, TRAIL MIX","NUTS & SEEDS",BLENDS,BRAND/SEGMENT,"I  ",8315
