BrandSid,DataextrctSid,BrandLongNm,BrandShortNm,ParentBrandLongNm,ParentBrandShortNm,ChangeInd,JobExecSid
240,13,"AMAZON MANIA",AMAZONMNIA,,,"I  ",8330
341,13,APPLETISER,APPLETISER,,,"I  ",8330
2194,13,"ECHO FARM PUDDING",ECHOFARM,,,"I  ",8330
5071,13,"NEKTAR HONEY CRYSTALS",NEKTAR,,,"I  ",8330
6724,13,"SOPHIE'S KITCHEN",SOPHIE,,,"I  ",8330
5174,13,NORTHLAND,NORTHLAND,,,"I  ",8330
3033,13,"GRASS RUN",GRASSRUN,,,"I  ",8330
2034,13,DOTTREAT,DOTTREAT,,,"I  ",8330
4825,13,"MRS. MEYERS",MRSMEYERS,,,"I  ",8330
4724,13,"MOM MADE",MOMMADE,,,"I  ",8330
6949,13,SUN-RYPE,SUNRYPE,,,"I  ",8330
5050,13,"NATURELLE D'ORIENT",NATURELDOR,,,"I  ",8330
2583,13,"FOLLOW YOUR HEART",FOLLOWHRT,,,"I  ",8330
116,13,"AGAPE HEALTH",AGAPEHLTH,,,"I  ",8330
280,13,AMPRO,AMPRO,,,"I  ",8330
4379,13,"MAINE ROOT",MAINEROOT,,,"I  ",8330
6171,13,"ROBERT'S AMERICAN GOURMET",ROBERTAMER,,,"I  ",8330
2158,13,"EARTH PRESERV",EARTHPRESR,,,"I  ",8330
6785,13,SPICECO,SPICECO,,,"I  ",8330
3298,13,HEMPNUT,HEMPNUT,,,"I  ",8330
5275,13,"OATS TO GO",OATS2GO,,,"I  ",8330
7784,13,"WATER BOBBLE",WATERBOBBL,,,"I  ",8330
5849,13,"PRIDE OF MALABAR",PRIDEMALBR,,,"I  ",8330
2297,13,"EMERALD FOREST SUGAR",EMRLDFRSTS,,,"I  ",8330
4602,13,MERYA,MERYA,,,"I  ",8330
3969,13,KUCHENMEISTER,KUCHNMEIST,,,"I  ",8330
7906,13,"WILLAMETTE EGG FARMS",WILLAMTEGG,,,"I  ",8330
1441,13,CHINCOTEAGUE,CHINCOTEAG,,,"I  ",8330
2032,13,DOTBAR,DOTBAR,,,"I  ",8330
6989,13,SUPERSEEDZ,SUPERSEEDZ,,,"I  ",8330
2543,13,FLAVIGNY,FLAVIGNY,,,"I  ",8330
972,13,BORVIL,BORVIL,,,"I  ",8330
1256,13,"CARE FREE",CAREFREE,,,"I  ",8330
2949,13,GOLDENFRY,GOLDNFRY,,,"I  ",8330
4320,13,LUZIANNE,LUZIANNE,,,"I  ",8330
3439,13,HORIO,HORIO,,,"I  ",8330
4089,13,"LAURA'S WHOLESOME JUNK FOOD",LAURA,,,"I  ",8330
4846,13,"MULAY'S SAUSAGE",MULAY,,,"I  ",8330
7765,13,"WAH AAH",WAHAAH,,,"I  ",8330
4215,13,"LITTLE ME TEA",LITTLEME,,,"I  ",8330
1134,13,CABANA,CABANA,,,"I  ",8330
1729,13,CROFTER'S,CROFTER,,,"I  ",8330
1809,13,DALLMAYR,DALLMAYR,,,"I  ",8330
1197,13,CALISTOGA,CALISTOGA,,,"I  ",8330
