,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"Western Region Product (TCS) Types, Categories, & Subgroups  (05/15/14)",,,,
,,,,,,
,up to 99,30 character limit,up to 99,30 character limit,5 character limit,no limit-not applicable to system~for guideline use only
,,,,,,
TYPE,CAT #,CATEGORY NAME,SUB #,SUBGROUP,FINAL CODE,NOTES/EXAMPLES
,,,,,,
C,09,,03,eggs,C0903,"alternatives, whites"
C,09,,04,margarine,C0904,"oil spreads, shortening "
C,09,,05,milk,C0905,"eggnog, flavored milk, goat milk, buttermilk"
C,09,,06,refrig milk alternatives & adds,C0906,"chai,amazake,nondairy flavored & eggnog, coffee add"
C,09,,,,C0907,
C,09,,07,whip cream & half & half,C0907,fraiche
,,,,,,
C,10,YOGURT & ALTERNATIVES,01,whole milk yogurt,C1001,"goat, culture starter"
,,,,,C1002,
C,10,,02,non-dairy,C1002,"soy, etc"
C,11,,03,yogurt & kefir alternatives,C1003,alternatives
C,12,,04,yogurt & kefir alternatives,C1004,alternatives
C,13,,05,yogurt & kefir alternatives,C1005,alternatives
C,14,,06,yogurt & kefir alternatives,C1006,alternatives
C,15,,07,yogurt & kefir alternatives,C1007,alternatives
C,16,,08,yogurt & kefir alternatives,C1008,alternatives
C,10,,03,fat free yogurt,C1003,
C,10,,04,low fat yogurt,C1004,
C,10,,05,drinkable yogurt,C1005,all drinkable yogurt & kefir
C,10,,06,yogurt soy drinkable/kefir,C1006,
,,,,,,
,,,,,,
C,11,MEATS,01,Deli slices & dogs,C1101,
C,11,,02,Beef,C1102,
C,11,,03,Poultry,C1103,
C,11,,04,Pork,C1104,
C,11,,05,Lamb,C1105,
,,,,,,
C,99,SEASONAL ONLY,01,CHRISTMAS,C9901,
C,99,,02,THANKSGIVING,C9902,
C,99,,03,EASTER,C9903,
C,99,,04,OTHER,C9904,"Valentines Day, Halloween"
,,,,,,
TYPE,CAT #,CATEGORY NAME,SUB #,SUBGROUP,FINAL CODE,NOTES/EXAMPLES
D,11,PET SUPPLIES,01,accessories,D1101,"collars,bowls,leashes,litter,repellant,shampoo,display"
D,11,,02,canned  ,D1102,
D,11,,03,dry,D1103,
D,11,,04,supplements,D1104,
D,11,,05,treats,D1105,
,,,,,,
D,99,SEASONAL ONLY,01,CHRISTMAS,D9901,
D,99,,02,THANKSGIVING,D9902,
D,99,,03,EASTER,D9903,
D,99,,04,OTHER,D9904,"Valentines Day, Halloween"
,,,,,,
,,,,,,
,,,,,,
TYPE,CAT #,CATEGORY NAME,SUB #,SUBGROUP,FINAL CODE,NOTES/EXAMPLES
F,12,FROZEN BREADS,01,buns /rolls /bagels /muffins,F1201,"english muffins, croissants"
F,12,see CHILL/FROZ for pizza crusts,02,nonwheat,F1202,spelt
F,12,,,,F1203,
F,12,,,,F1204,
F,12,see SALAD DRESSING/toppings for,03,specialty breads,F1203,"foccacia, bruschetta, NOT low carb"
F,12,,,,,
F,12,,,,,
F,12,"breadstix, croutons",04,tortillas & pitas,F1204,"pockets, chapitas"
F,12,,05,wheat /multigrain /white,F1205,"rye, sourdough"
,,,,,,
F,13,FROZEN DESSERT ITEMS,01,"desserts, novelties",F1301,"cakes,pies,pie shells, pastry dough, crepes,tiramisu,brownies,cookies"
F,13,,02,ice cream & frozen yogurt,F1302,
F,13,,03,nondairy ice cream & frzn yog,F1303,"soy,rice"
F,13,,04,hand held ice cream,F1304,"brownies, bars, protein juice bars"
F,13,,05,sorbet / gelato,F1305,glace
,,,,,,
,,,,,,
,,,,,,
,,,,,,
F,,,,,,
F,,,,,,
F,,,,,,
F,,,,,,
F,,,,,,
F,,,,,,
,,,,,,
F,14,FROZEN GROCERY,01,baby food,F1401,
F,14,,02,burritos & pockets,F1402,"wraps, calzones, tamales, tacos, sandwhich style"
F,14,,,,F1403,
F,14,,03,entrees & sides,F1403,"veggie bowls, breakfast meals, kids meals"
F,14,,04,fruit,F1404,
,14,,,,,
,14,,,,,
F,14,,05,fruit juice,F1405,amazake in CHILL set C0906
F,14,,06,pasta,F1406,
F,14,,07,pizza,F1407,pizza crusts
F,14,,08,pot pies & bowls,F1408,
F,14,,09,potatoes,F1409,"fries, hash browns, tots"
F,14,,10,sauces / pestos / soups,F1410,"soup stock, dips"
F,14,,11,snacks,F1411,"ethnic, appetizers, toaster pops, corndogs"
F,14,,12,vegetables,F1412,"edamame, NOT potatoes"
F,14,,13,waffles,F1413,pancakes
,,,,,,
F,15,FROZEN MEATS ALTERNATIVES,01,breakfast meat & eggs,F1501,
F,15,,02,breakfast meat alternatives,F1502,
F,15,,03,meat alternatives,F1503,"mock seafood & poultry, alternative nuggets, tempeh"
F,15,,04,meat / seafood / poultry,F1504,nuggets
F,15,,05,meatless burgers,F1505,
,,,,,,
F ,16,FROZEN MEATS,01,Beef,F1601,
F ,16,,02,Poultry,F1602,
F ,16,,03,Pork,F1603,
F ,16,,04,Lamb,F1604,
F ,16,,05,Seafood,F1605,
F ,16,,06,Breaded Meats,F1606,
F ,16,,07,Other Meats,F1607,"Rabbit, elk, buffalo, etc"
F ,16,,08,Sausage & breakfast meats,F1608,
,,,,,,
F,64,FROZEN PET FOODS,01,dog food,F6401,
,,,,,,
F,64,,02,cat food ,F6402,
,,,,,,
F,99,SEASONAL ONLY,01,CHRISTMAS,F9901,
F,99,,02,THANKSGIVING,F9902,
F,99,,03,EASTER,F9903,
F,99,,04,OTHER,F9904,"Valentines Day, Halloween"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TYPE,CAT #,CATEGORY NAME,SUB #,SUBGROUP,FINAL CODE,NOTES/EXAMPLES
G,16,BAKING INGREDIENTS & MIXES,01,baking additives,G1601,"shortening,ghee,chips,cones,sprinkles,pectin,egg whts"
G,16,,02,flours & powders,G1602,"wheatgerm, TVP, cornmeal, baking soda, yeast"
G,16,see also HERBS & SPICES for ,03,goat milk/other milks,G1603,"powdered, evaporated (NOT alternatives)"
G,16,flavor extracts,04,mixes,G1604,"baking,pudding,tapicoa,jello,cocoa,carob,hot drnk mix"
G,16,,05,sweeteners,G1605,"honey,molasses,sugars,syrups,fructose,Stevia N4708"
,,,,,,
G,16,,06,waffle & pancake mix,G1606,
,,,,,,
G,17,BARS,01,Energy / Nutrition / Diet,G1701,see also CEREAL
X,,,,,G1702,
X,,,,,G1703,
G,17,,02,Snack,G1702,
G,17,,03,Bars,G1703,"Functional Gels, Shots/Gummys"
,,,,,,
G,18,CANDY,01,candy ,G1801,"licorice, yogurt coated"
G,18,,02,chocolate,G1802,
G,18,,03,fruit leather,G1803,"gummy's, chews"
G,18,,04,gum & mints,G1804, for dental gums see H4202
G,18,,05,carob,G1805,
,,,,,,
G,19,CEREAL,01,cereal & granola bars,G1901,"scones, tarts, breakfast bars"
G,19,,02,cold ,G1902,
G,19,,03,granola / museli,G1903,see also PKG GRAINS for rolled oats
G,19,,04,hot,G1904,"quick/instant oatmeal,NOT rolled, see G3101"
G,,,,,,
G,19,,05,single serve,G1905,
,,,,,,
G,20,CHIPS,01,corn / tortilla,G2001,
G,20,,02,potato,G2002,
G,20,,03,pretzels,G2003,
G,20,,04,puffed / popcorn,G2004,"kettle corn, Unpopped corn see G3002"
G,20,,05,rice / corn / soy,G2005,"ricecakes, soy chips"
G,20,,06,snack style / mixes,G2006,"apple chips, guppies, pita, sea veggie"
G,20,,07,vegetable,G2007,NOT potato
,,,,,,
,,,,,,
,,,,,,
G,21,CONDIMENTS,01,jarred veggies,G2101,"olives,capers,garlic,peppers,kraut,artichokes,grape lvs"
G,21,,02,mayo / mustard / catsup,G2102,"flavored mustards, soy mayo"
G,21,see also ETHNIC or OILS/VINEGARS,03,pickles & relishes,G2103,
G,21," or SALAD DRESSINGS, G3704",04,sauces / marinades,G2104,"seafood sauces,pate,see G2401 for shoyu,tamari,soy "
G,,,,,,
,,,,,,
G,22,COOKIES,01,cookies,G2201,"nonfrozen brownies, animal crackers"
G,22,,02,graham crackers,G2202,"biscotti, specialty cookies, biscuits"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
G,23,CRACKERS,01,crackers,G2301,
G,23,,02,rice / alternative,G2302,
,,,,,,
G,24,ETHNIC FOODS,01,Asian / tofu / sea vegetables,G2401,"soy sauces, miso"
G,24,see G2302 for ethnic chips,02,Mexican,G2402,"chili, jarred chilis, taco & tostada shells, NOT chili mix"
G,24,see G3102 ethnic mixes,03,other international,G2403,"Coconut milk, African sce, water chestnuts, passover "
G,24,see also SOUPS / RAMENS / CANNED,04,Thai & Indian,G2404,
G,24,,05,Asian pasta,G2405,
G,24,,06,"Mexican pickles, peppers, relish",G2406,"Pickles, peppers, relish"
G,24,,07,MEXICAN SPICES SEASONINGS,G2407,
G,24,,08,MEXICAN SALSA,G2408,
G,24,,09,MEXICAN SAUCES,G2409,
G,24,,10,MEXICAN SNACKS AND DIPS,G2410,
G,24,,15,CARRIBEAN,G2415,
G,24,,20,GREEK,G2420,
G,24,,25,AFRICAN AMERICAN,G2425,
G,24,,30,ITALIAN,G2430,
G,24,,31,ITALIAN COOKIES,G2431,
G,24,,32,ITALIAN PASTA,G2432,
G,24,,33,ITALIAN PICKLES/PEPPERS/RELISH,G2433,
G,24,,34,ITALIAN SAUCES,G2434,
G,24,,35,ITALIAN SPICES/SEASONINGS,G2435,
G,24,,36,ITALIAN VINEGARS/COOKING WINES,G2436,
G,24,,37,ITALIAN VEGETABLES,G2437,
G,24,,38,ITALIAN OILS,G2438,
G,24,,40,ASIAN COOKING OIL,G2440,
G,24,,41,ASIAN MARINADE/SAUCE,G2441,
G,24,,42,ASIAN SOY SAUCE,G2442,
G,24,,43,ASIAN SEASONING,G2443,
G,24,,44,ASIAN VEGETABLE,G2444,
G,24,,45,ASIAN SOUP STARTERS,G2445,
G,24,,46,ASIAN MEALS/SOUPS ON THE GO,G2446,
G,24,,47,ASIAN MEAL STARTERS,G2447,
G,24,,47,ASIAN RICE,G2448,
G,24,,49,ASIAN SNACKS SALTY,G2449,
G,24,,55,MIDDLE EASTERN/EAST EUROPEAN FOODS,G2455,
G,24,,60,IRISH,G2460,
G,24,,65,INDIAN,G2465,
G,24,,70,GERMAN,G2470,
,,,,,,
G,25,FRUIT SPREADS,01,specialty,G2501,"conserves,chutney,pie fill,compote,frt butters,choc spd"
G,25,,02,spreads,G2502,"jams, jelly's, preserves, marmalade"
,,,,,,
G,26,FRUITS & DRIED VEGETABLES,01,apple sauce/ pudding/ jello,G2601,
G,26,see also CONDIMENTS for jar vegies,02,canned fruit,G2602,cranberry sce
G,26,& SOUPS/RAMENS/CANNED ,03,dried fruits & vegetables,G2603,all RAISINS in BULK B0305
G,26,,04,macrobiotic/dried vegetables,G2604,
,,,,,,
G,27,HERBS & SPICES,01,bottled ,G2701,
G,27,,02,seasoning blends,G2702,"wasabi powder, gomasio, see also ETHNIC"
G,27,,03,packaged,G2703,"tofumates, tuna salad mix, NOT soup mix"
G,27,,04,salts,G2704,tenderizer
G,27,,05,liquid extracts,G2705,
,,,,,,
G,28,NUT & SEED BUTTERS,01,almond,G2801,
G,28,,02,cashew & macadamia,G2802,"hazelnut, filbert, pecan"
G,28,,03,peanut,G2803,
G,28,,04,tahini / soy / seed,G2804,"sesame seed, hemp"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
G,29,OILS & VINEGARS,01,canola,G2901,
G,29,,02,hemp ,G2902,
G,29,,03,nut / seed / other & displays,G2903,"garlic, grapeseed, soy, apricot, avocado, coconut,corn"
G,29,,04,olive,G2904,
G,29,,05,safflower,G2905,
,29,,,,G2906,
,29,,,,G2907,
,29,,,,G2908,
